simulacao,Dice_Distancai_Euclidiana,IoU_Distancai_Euclidiana,Prec_Distancai_Euclidiana,Rec_Distancai_Euclidiana,Dice_K_means,IoU_K_means,Prec_K_means,Rec_K_means
1,0.644599303135889,0.475578406169666,0.484927916120577,0.961038961038961,0.59185242121445,0.420305676855895,0.420305676855895,1
2,0.569823434991974,0.398428731762065,0.398428731762065,1,0.55512118842846,0.384199134199134,0.384199134199134,1
3,0.661311914323963,0.494,0.722222222222222,0.609876543209876,0.77007700770077,0.626118067978533,0.694444444444444,0.864197530864197
4,0.672494956287828,0.506585612968592,0.554323725055432,0.854700854700855,0.670205706702057,0.503992015968064,0.547722342733189,0.863247863247863
5,0.641025641025641,0.471698113207547,0.581395348837209,0.714285714285714,0.681188118811881,0.516516516516517,0.583050847457627,0.819047619047619
6,0.56078431372549,0.389645776566757,0.479061976549414,0.67612293144208,0.568115942028986,0.396761133603239,0.480392156862745,0.695035460992908
7,0.731634182908546,0.576832151300236,0.578199052132701,0.995918367346939,0.727272727272727,0.571428571428571,0.572769953051643,0.995918367346939
8,0.761212121212121,0.614481409001957,0.619329388560158,0.987421383647799,0.6996699669967,0.538071065989848,0.538071065989848,1
9,0.665217391304348,0.498371335504886,0.6,0.746341463414634,0.694817658349328,0.532352941176471,0.572784810126582,0.882926829268293
10,0.790540540540541,0.653631284916201,0.657303370786517,0.991525423728814,0.767479674796748,0.622691292875989,0.622691292875989,1
11,0.765541740674956,0.620143884892086,0.641369047619048,0.949339207048458,0.761987794245859,0.615492957746479,0.630591630591631,0.962555066079295
12,0.560175054704595,0.389057750759878,0.389057750759878,1,0.55261737722612,0.381804623415362,0.381804623415362,1
13,0.65406427221172,0.485955056179775,0.494992846924177,0.963788300835655,0.622222222222222,0.451612903225806,0.456919060052219,0.974930362116992
14,0.811188811188811,0.682352941176471,0.686390532544379,0.991452991452991,0.774729842061513,0.632293080054274,0.634013605442177,0.995726495726496
15,0.766393442622951,0.621262458471761,0.621262458471761,1,0.691312384473198,0.528248587570621,0.528248587570621,1
